Date,Hit-Ratio%,1CrossSell-Purchase,GreaterThan1CrossSell-Purchase,Total-Order
2024-11-20,1.23,9.0,0.0,729.0
2024-11-21,1.04,6.0,3.0,869.0
2024-11-22,0.78,6.0,0.0,771.0
2024-11-23,1.03,8.0,0.0,776.0
2024-11-24,0.00,0.0,0.0,0.0
2024-11-25,0.36,3.0,0.0,827.0
2024-11-26,0.58,5.0,0.0,862.0
2024-11-27,1.03,8.0,0.0,779.0
2024-11-28,1.09,10.0,0.0,919.0
2024-11-29,1.00,7.0,1.0,802.0
2024-11-30,1.15,8.0,0.0,693.0
2024-12-01,0.00,0.0,0.0,0.0
2024-12-02,0.65,5.0,0.0,765.0
2024-12-03,1.15,9.0,0.0,781.0
2024-12-04,0.00,0.0,0.0,62.0
