Date,Hit-Ratio%,1CrossSell-Purchase,GreaterThan1CrossSell-Purchase,Total-Order
2024-11-20,18.55,156.0,0.0,841.0
2024-11-21,13.38,98.0,1.0,740.0
2024-11-22,14.41,91.0,8.0,687.0
2024-11-23,13.10,28.0,2.0,229.0
2024-11-24,14.29,3.0,1.0,28.0
2024-11-25,10.92,44.0,7.0,467.0
2024-11-26,17.46,115.0,9.0,710.0
2024-11-27,29.67,176.0,10.0,627.0
2024-11-28,18.74,96.0,5.0,539.0
2024-11-29,18.77,63.0,4.0,357.0
2024-11-30,26.92,18.0,3.0,78.0
2024-12-01,11.11,2.0,0.0,18.0
2024-12-02,23.76,113.0,7.0,505.0
2024-12-03,17.73,105.0,6.0,626.0
2024-12-04,20.98,140.0,6.0,696.0
