LOGINID,OUTLETCODE,TOTAL_ORDERS,ORDERS_AND_(SALES_OR_RECOMMENDATION),TRENDING_IN_ORDERS,TRENDING_IN_RECOMMENDATIONS,TOTAL_RECOMMENDATIONS,MATCHED_TRENDING_RECOMMENDATIONS,PRINCE_RATIO,VANSHIKA_RATIO,HARSH_RATIO
DSR-ROM-216,PH036705,4,4,2,2,5,2,100.0,50.0,1.0,
DSR-CMN-ROM-773,PH055977,3,2,2,3,5,2,100.0,100.0,1.0,
DSR-RAJ-165,PH105131,3,2,1,3,5,1,100.0,50.0,0.0,
DSR-UP-379,PH091434,1,1,0,0,10,0,0.0,0.0,1.0,
DSR-NE-322,TG015864,2,2,2,5,5,2,100.0,100.0,1.0,
DSR-KNUC-305,CL001565,9,9,5,5,9,5,100.0,55.55555555555556,1.0,
DSR-PUNE-139,DS008883,6,3,0,4,6,0,0.0,0.0,0.0,
DSR-PUNE-139,PH108585,3,2,1,4,5,1,100.0,50.0,1.0,
DSR-GT-MUM-796,PH060017,3,3,2,3,5,1,50.0,66.66666666666666,0.0,
DSR-CMN-ROE-498,PH124954,2,1,0,3,3,0,0.0,0.0,1.0,
DSR-W/UP-443,PH063103,1,1,0,0,5,0,0.0,0.0,1.0,
DSR-CMN-KER-641,PH060308,4,4,2,4,5,2,100.0,50.0,0.0,
DSR-CHN-109,DS009657,15,8,4,4,19,4,100.0,50.0,1.0,
DSR-CMN-HAR-780,PH081958,1,1,1,2,5,1,100.0,100.0,1.0,
DSR-KER-343,DS011521,14,8,2,3,7,2,100.0,25.0,1.0,
DSR-CMN-PUNJ-519,PH013207,4,4,4,5,5,4,100.0,100.0,1.0,
DSR-MP-288,PH101994,1,1,1,2,5,0,0.0,100.0,1.0,
DSR-ROM-223,PH016971,5,5,3,3,5,3,100.0,60.0,1.0,
DSR-CMN-ROE-686,PH065644,2,2,2,4,5,2,100.0,100.0,1.0,
DSR-CMN-UP-687,PH062858,2,2,2,3,5,2,100.0,100.0,1.0,
DSR-GT-PUNE-706,PH108867,4,4,0,3,9,0,0.0,0.0,0.0,
